Route_name,Route_link
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa
Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai
Pandharpur to Goa,https://www.redbus.in/bus-tickets/pandharpur-to-goa
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa
Goa to Pandharpur,https://www.redbus.in/bus-tickets/goa-to-pandharpur
Belagavi to Goa,https://www.redbus.in/bus-tickets/belagavi-to-goa
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore
Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa
Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur
Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola
Sangola (Solapur) to Goa,https://www.redbus.in/bus-tickets/sangola-to-goa
Calangute (goa) to Goa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport
Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli
Calangute (goa) to Mopa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport
Mopa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa
Ponda to Belagavi,https://www.redbus.in/bus-tickets/ponda-to-belagavi
Goa to Miraj,https://www.redbus.in/bus-tickets/goa-to-miraj
Goa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/goa-airport-to-calangute-goa
Marcel to Belagavi,https://www.redbus.in/bus-tickets/marcel-to-belagavi
Shivamogga to Goa,https://www.redbus.in/bus-tickets/shimoga-to-goa
Goa to Mopa Airport,https://www.redbus.in/bus-tickets/goa-to-mopa-airport
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara
Belagavi to Marcel,https://www.redbus.in/bus-tickets/belagavi-to-marcel
Mopa Airport to Goa,https://www.redbus.in/bus-tickets/mopa-airport-to-goa
Shirdi to Goa,https://www.redbus.in/bus-tickets/shirdi-to-goa
Goa to Shivamogga,https://www.redbus.in/bus-tickets/goa-to-shimoga
Goa to Shirdi,https://www.redbus.in/bus-tickets/goa-to-shirdi
