Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Arunita Paribahan,A/C Seater (2+3),23:35,05:00,05h 25m,INR 370,18 Seats available,2.9,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
The Joy Ride,A/C Seater / Sleeper (2+2),21:15,03:35,06h 20m,INR 650,33 Seats available,3.1,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
ASHIRWAD BUS SERVICE PRIVATE LIMITED,A/C Seater / Sleeper (2+1),23:30,04:15,04h 45m,INR 400,15 Seats available,3.5,https://www.redbus.in/bus-tickets/suri-to-kolkata,Suri to Kolkata
SBSTC-GARIA - DIGHA - 22:30 (DIGHA DEPOT) - 3745,Non AC Seater (2+3),23:45,04:15,04h 30m,INR 155,16 Seats available,"4.2
237",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04:30,05h 00m,INR 400,9 Seats available,"4.4
329",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Express Line,Volvo 9600 A/C Seater (2+2),23:45,04:45,05h 00m,INR 399,39 Seats available,"4.4
250",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Mayuri Express,AC Seater (2+2),23:15,04:30,05h 15m,278,15 Seats available,"4.2
179",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,04:10,05h 25m,INR 370,9 Seats available,"3.0
38",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Parameswar Travels,A/C Seater Push Back (2+3),20:00,01:35,05h 35m,285,20 Seats available,"1.6
6",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
City Express (Shinjini),AC Seater (2+3),22:45,04:10,05h 25m,INR 320,21 Seats available,"3.5
26",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Parisheba(Santosh),A/C Seater Push Back (2+3),23:30,04:30,05h 00m,352,33 Seats available,"3.2
20",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Arunita Paribahan,A/C Seater (2+3),23:35,03:45,04h 10m,INR 370,18 Seats available,"1.9
12",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Royal Cruiser,Volvo A/C Seater (2+2),20:00,23:15,03h 15m,475,24 Seats available,"3.8
170",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Sana Travels,NON AC Seater / Sleeper 2+1,20:30,23:55,03h 25m,INR 500,24 Seats available,1.3,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
EASY RIDE,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:15,07:25,11h 10m,INR 1500,12 Seats available,"4.7
690",https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),20:45,07:50,11h 05m,INR 1200,29 Seats available,"4.3
657",https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:40,08:30,11h 50m,INR 1500,5 Seats available,"4.5
399",https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),20:00,07:45,12h 20m,INR 1200,30 Seats available,"4.6
818",https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:10,07:30,11h 20m,INR 1500,14 Seats available,"4.6
525",https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:15,06:50,10h 35m,INR 1500,17 Seats available,"4.5
422",https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
Royal Cruiser,Volvo A/C Seater (2+2),20:00,00:15,04h 15m,523,22 Seats available,"3.9
69",https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Beauty Travels,NON A/C Seater / Sleeper (2+2),20:20,00:30,04h 10m,INR 380,36 Seats available,3.0,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Sana Travels,NON AC Seater / Sleeper 2+1,20:30,01:00,04h 30m,INR 500,25 Seats available,1.3,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
SBSTC-BONGAON - ASANSOL - VIA - BARASAT - 05:00 (ASN DEP - 1515,Non AC Seater (2+3),07:00,00:00,17h 00m,INR 185,50 Seats available,"2.7
21",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-asansol,Barasat (West Bengal) to Asansol (West Bengal)
WBTC (CTC) HABRA - BAKKHALI - 153|07:50,Non AC Seater (2+3),07:50,11:55,04h 05m,INR 102,38 Seats available,"3.7
33",https://www.redbus.in/bus-tickets/kolkata-to-bakkhali,Kolkata to Bakkhali
WBTC (CTC) Habra- Barasat- Haldia - 180|07:10,Non AC Seater (2+3),07:10,08:45,01h 35m,INR 82,37 Seats available,"4.5
18",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nimtouri,Barasat (West Bengal) to Nimtouri
SBSTC-BONGAON - ASANSOL - VIA - BARASAT - 05:00 (ASN DEP - 1515,Non AC Seater (2+3),06:00,11:00,05h 00m,INR 180,48 Seats available,"3.4
24",https://www.redbus.in/bus-tickets/habra-to-durgapur,Habra to Durgapur (West Bengal)
SBSTC-HABRA - DURGAPUR - VIA - BARASAT - 07:00 (DGP DEPO - 915,Non AC Seater (2+3),07:00,12:00,05h 00m,INR 180,46 Seats available,"4.2
52",https://www.redbus.in/bus-tickets/habra-to-durgapur,Habra to Durgapur (West Bengal)
WBTC (CTC) Habra-Midnapur - 194|06:25,Non AC Seater (2+3),06:25,08:20,01h 55m,INR 73,47 Seats available,3.4,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-mechogram,Barasat (West Bengal) to Mechogram
WBTC (CTC) Habra-Midnapur - 194|07:00,Non AC Seater (2+3),07:00,09:00,02h 00m,INR 73,39 Seats available,"3.4
9",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-mechogram,Barasat (West Bengal) to Mechogram
SBSTC-HABRA - HALDIA - 06:50 (HALDIA) - 1509,Non AC Seater (2+3),06:50,00:00,17h 10m,INR 142,47 Seats available,"3.9
11",https://www.redbus.in/bus-tickets/habra-to-haldia,Habra to Haldia
Santosh Bus Service,A/C Seater Push Back (2+3),05:10,09:30,04h 20m,360,19 Seats available,"4.6
6",https://www.redbus.in/bus-tickets/habra-to-contai-kanthi,Habra to Contai (Kanthi)
SBSTC-HABRA - MIDNAPUR - 06:20 (MID DEPOT) - 1398,Non AC Seater (2+3),06:20,00:00,17h 40m,INR 143,45 Seats available,"4.6
17",https://www.redbus.in/bus-tickets/habra-to-midnapore,Habra to Midnapore
