Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,03:30,06h 00m,INR 400,18 Seats available,"3.2
102",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
DESTINY TRAVELS,NON A/C Seater (2+1),23:45,03:45,04h 00m,399,18 Seats available,New,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),22:15,03:45,05h 30m,INR 550,11 Seats available,"3.8
29",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Yatra Travels,NON A/C Seater (2+1),18:30,23:30,05h 00m,400,9 Seats available,"3.6
17",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON AC Seater/ Sleeper (2+1),20:00,00:00,04h 00m,400,6 Seats available,"3.8
14",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),20:15,01:15,05h 00m,INR 450,4 Seats available,3.4,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,02:30,05h 45m,INR 500,5 Seats available,3.4,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:45,02:00,04h 15m,INR 450,6 Seats available,"3.9
18",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Megha Transport,Bharat Benz NON A/C Seater / Sleeper (2+1),19:30,22:15,02h 45m,INR 500,34 Seats available,3.7,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
DESTINY TRAVELS,NON A/C Seater (2+1),18:45,21:50,27h 05m,428,19 Seats available,New,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Yatra,Non AC Seater (2+2),20:15,03:30,07h 15m,INR 350,5 Seats available,"2.8
22",https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Dhubri to Guwahati
MAA MONOSHA TRAVELS,NON A/C Seater (2+1),20:00,03:30,07h 30m,INR 350,14 Seats available,New,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Dhubri to Guwahati
Puja Transport,Non AC Seater (2+2),20:00,05:00,09h 00m,INR 550,19 Seats available, ,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Puja Transport,NON AC Seater / Sleeper 2+1,20:00,04:30,08h 30m,INR 550,2 Seats available, ,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
J.S. Travels,Non AC Seater (2+1),21:00,04:00,07h 00m,INR 550,16 Seats available, ,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),20:00,04:00,08h 00m,INR 550,5 Seats available, ,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Maa Laxmi,NON A/C Seater Push Back (2+1),23:00,05:30,06h 30m,INR 550,20 Seats available, ,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Air Bus Travels,NON AC Seater / Sleeper 2+1,21:00,03:00,06h 00m,INR 400,10 Seats available,"3.8
4",https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
Puja Transport,NON AC Seater / Sleeper 2+1,20:00,05:00,09h 00m,INR 550,1 Seat available,"4.0
85",https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Dibrugarh to Tezpur
