Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,474,34 Seats available,"4.5
856",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:25,07:10,09h 45m,495,21 Seats available,"4.5
605",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,07:45,08h 20m,523,19 Seats available,"4.4
643",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
AdCity Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:25,07:25,08h 00m,INR 500,46 Seats available,"3.6
404",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
FlixBus,A/C Seater (2+2),23:55,08:35,08h 40m,INR 619,23 Seats available,"4.2
10",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),22:30,08:00,09h 30m,477,7 Seats available,"4.7
522",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),22:05,07:25,09h 20m,445,3 Seats available,"4.4
457",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,06:00,08h 00m,522,16 Seats available,"3.3
373",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:30,07:30,10h 00m,INR 1500,33 Seats available,"2.0
38",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Heera Himachal Holidays,Volvo A/C Semi Sleeper (2+2),21:30,06:30,09h 00m,INR 1399,22 Seats available,"1.7
7",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),21:30,05:30,08h 00m,495,12 Seats available,"4.8
571",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),22:00,06:40,08h 40m,495,40 Seats available,"4.4
513",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),20:30,04:35,08h 05m,438,22 Seats available,"4.4
441",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,04:30,08h 00m,474,31 Seats available,"4.3
675",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00,05:30,07h 30m,630,32 Seats available,"4.2
399",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
FlixBus,A/C Seater (2+2),20:00,05:00,09h 00m,INR 757,20 Seats available,4.5,https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:00,06:00,09h 00m,INR 1666,41 Seats available,4.1,https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,05:30,07h 00m,529,29 Seats available,"3.9
469",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,05:00,07h 00m,495,29 Seats available,"3.7
312",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
City Land Travels,Volvo A/C Semi Sleeper (2+2),21:00,04:25,07h 25m,INR 448,29 Seats available,"3.4
103",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,03:10,06h 10m,569,9 Seats available,"4.8
117",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,03:30,05h 30m,569,29 Seats available,"4.6
198",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),21:40,03:30,05h 50m,617,11 Seats available,"4.7
43",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
